City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,qaqortoq,60.72,-46.03,59.0,22,40,28.86,GL,1590244162
140,shubarkuduk,49.14,56.49,83.84,34,12,15.7,KZ,1590244162
141,acari,-15.43,-74.62,72.19,48,65,5.35,PE,1590244162
142,bambous virieux,-20.34,57.76,73.4,69,40,10.29,MU,1590244163
143,albion,42.24,-84.75,66.99,100,40,3.36,US,1590244163
144,lompoc,34.64,-120.46,51.8,87,90,3.36,US,1590244163
145,tara,56.89,74.37,62.06,70,70,8.37,RU,1590244163
146,diffa,13.32,12.61,103.21,20,3,3.74,NE,1590244163
147,cabo san lucas,22.89,-109.91,77.0,60,5,11.23,MX,1590244033
148,bom jardim,-7.8,-35.59,80.67,79,40,11.03,BR,1590244163
149,padang,-0.95,100.35,81.14,71,99,4.07,ID,1590244163
150,carballo,43.21,-8.69,62.01,71,0,15.99,ES,1590244164
151,dukat,62.55,155.55,24.13,93,45,3.11,RU,1590244164
152,hermanus,-34.42,19.23,72.0,59,0,1.01,ZA,1590244164
153,sobolevo,54.43,31.9,49.24,74,97,8.88,RU,1590244164
154,camden,39.78,-74.97,66.99,97,100,4.45,US,1590244096
155,lagoa,39.05,-27.98,64.47,96,100,18.43,PT,1590244164
156,thompson,55.74,-97.86,44.6,75,40,5.82,CA,1590244116
157,kruisfontein,-34.0,24.73,66.36,52,0,9.35,ZA,1590244164
158,dunedin,-45.87,170.5,48.99,85,100,2.68,NZ,1590244164
159,rawson,-43.3,-65.1,56.14,36,100,11.7,AR,1590244164
160,iralaya,15.0,-83.23,84.2,79,40,6.76,HN,1590244165
161,havelock,34.88,-76.9,80.01,78,6,7.0,US,1590243957
162,vardo,70.37,31.11,57.2,35,97,9.17,NO,1590244165
163,pevek,69.7,170.31,28.4,97,100,5.03,RU,1590244165
164,plettenberg bay,-34.05,23.37,67.19,56,0,1.81,ZA,1590244165
165,torbay,47.67,-52.73,45.0,41,40,34.45,CA,1590244165
166,yerbogachen,61.28,108.01,63.03,53,100,4.21,RU,1590244166
167,faya,18.39,42.45,77.0,31,40,4.7,SA,1590244166
168,chicama,-7.84,-79.15,68.94,74,80,5.35,PE,1590244166
169,aswan,24.09,32.91,109.38,7,0,11.59,EG,1590244166
170,new norfolk,-42.78,147.06,48.99,79,18,1.99,AU,1590244166
171,mumford,5.26,-0.76,84.29,71,11,10.69,GH,1590244166
172,mahajanga,-15.72,46.32,89.6,40,20,6.93,MG,1590244166
173,port elizabeth,-33.92,25.57,69.8,56,0,5.82,ZA,1590244167
174,porto nacional,-10.71,-48.42,87.8,55,20,10.29,BR,1590244167
175,huichapan,20.38,-99.65,66.2,68,5,4.25,MX,1590244167
176,port macquarie,-31.43,152.92,57.99,66,97,1.01,AU,1590244167
177,bay roberts,47.6,-53.26,45.0,45,0,15.01,CA,1590244167
178,narsaq,60.92,-46.05,59.0,22,40,28.86,GL,1590244167
179,constitucion,-35.33,-72.42,56.97,44,15,6.02,CL,1590244168
180,cherskiy,68.75,161.3,25.16,96,0,7.4,RU,1590244168
181,brae,60.4,-1.35,50.0,93,99,24.16,GB,1590244168
182,provideniya,64.38,-173.3,37.09,88,100,5.59,RU,1590244168
183,khatanga,71.97,102.5,62.22,64,41,10.45,RU,1590244168
184,pisco,-13.7,-76.22,64.99,82,90,2.24,PE,1590244168
185,mayumba,-3.43,10.66,82.24,80,19,9.53,GA,1590244168
186,talas,38.69,35.55,57.2,44,40,1.12,TR,1590244168
187,camacha,33.08,-16.33,73.4,64,20,13.87,PT,1590244169
188,kitui,-1.37,38.01,74.44,69,45,8.79,KE,1590244169
189,uruguaiana,-29.75,-57.09,59.0,77,75,27.51,BR,1590244169
190,kununurra,-15.77,128.73,68.0,32,40,10.29,AU,1590244169
191,general roca,-39.03,-67.58,39.2,43,100,3.36,AR,1590244169
192,wagar,16.15,36.2,96.78,28,70,20.47,SD,1590244169
193,upernavik,72.79,-56.15,29.26,97,15,11.99,GL,1590244169
194,tura,25.52,90.22,74.57,89,9,3.71,IN,1590244169
195,arraial do cabo,-22.97,-42.03,86.0,55,59,10.29,BR,1590244170
196,san patricio,19.22,-104.7,75.2,78,90,1.36,MX,1590244170
197,ayr,55.46,-4.63,51.8,81,75,23.04,GB,1590244170
198,karpogory,64.0,44.45,43.03,62,100,4.29,RU,1590244170
199,prince rupert,54.32,-130.32,50.0,71,90,4.7,CA,1590244170
200,dikson,73.51,80.55,42.35,80,83,11.54,RU,1590244170
201,susehri,40.16,38.09,50.92,56,93,7.74,TR,1590244170
202,iquique,-20.22,-70.14,62.6,67,90,5.82,CL,1590244170
203,sibolga,1.74,98.78,77.92,88,100,1.88,ID,1590244171
204,geraldton,-28.77,114.6,69.8,19,100,10.29,AU,1590244171
205,greensburg,40.3,-79.54,69.01,100,75,6.93,US,1590243998
206,leningradskiy,69.38,178.42,28.06,98,100,3.96,RU,1590244171
207,esperance,-33.87,121.9,55.4,50,0,10.29,AU,1590244171
208,qandala,11.47,49.87,92.34,48,4,5.95,SO,1590244171
209,shahr-e kord,32.33,50.86,82.4,14,40,6.93,IR,1590244171
210,berlevag,70.86,29.09,48.16,58,98,24.29,NO,1590244171
211,mar del plata,-38.0,-57.56,55.99,82,100,4.7,AR,1590244150
212,hofn,64.25,-15.21,49.12,57,100,24.4,IS,1590244171
213,nantucket,41.28,-70.1,59.0,93,90,5.82,US,1590243925
214,norman wells,65.28,-126.83,42.8,70,20,4.7,CA,1590244172
215,nanortalik,60.14,-45.24,45.37,68,97,2.17,GL,1590244172
216,cape town,-33.93,18.42,70.0,68,20,10.29,ZA,1590243903
217,whitianga,-36.83,175.7,59.0,89,100,5.01,NZ,1590244172
218,beloha,-25.17,45.05,74.93,69,32,13.35,MG,1590244172
219,georgetown,5.41,100.34,84.0,94,40,3.0,MY,1590244172
220,umm kaddadah,13.6,26.69,98.85,24,4,4.81,SD,1590244172
221,fare,-16.7,-151.02,80.85,75,4,23.06,PF,1590244172
222,palana,59.12,159.97,31.69,95,0,2.39,RU,1590244172
223,pringsewu,-5.36,104.97,76.32,89,90,1.92,ID,1590244173
224,lavrentiya,65.58,-171.0,34.21,95,100,3.8,RU,1590244173
225,changli,39.7,119.15,57.74,78,44,1.36,CN,1590244173
226,gravdal,68.12,13.5,48.33,73,100,14.72,NO,1590244173
227,biak,-0.91,122.88,78.91,83,90,2.33,ID,1590244173
228,severo-kurilsk,50.68,156.12,39.94,71,94,6.06,RU,1590244173
229,ponta delgada,37.73,-25.67,64.4,100,75,6.93,PT,1590244173
230,launceston,-41.45,147.17,46.99,81,90,10.29,AU,1590243982
231,gimli,50.63,-96.99,69.01,63,98,5.99,CA,1590244028
232,gizo,-8.1,156.84,82.74,79,99,8.55,SB,1590244173
233,borogontsy,62.67,131.17,45.75,54,99,3.49,RU,1590244173
234,mercedes,-34.65,-59.43,57.0,77,0,4.0,AR,1590244174
235,san cristobal,7.77,-72.22,82.87,43,19,8.5,VE,1590243943
236,petropavlovsk-kamchatskiy,53.05,158.65,37.4,74,44,4.47,RU,1590243893
237,cidreira,-30.18,-50.21,60.24,77,94,15.84,BR,1590244174
238,leshukonskoye,64.9,45.76,44.56,58,75,4.92,RU,1590244174
239,saint-pierre,-21.34,55.48,73.4,64,1,19.46,RE,1590244174
240,karratha,-20.74,116.85,72.95,47,0,19.91,AU,1590244174
241,kosh-agach,50.0,88.67,53.13,50,73,5.53,RU,1590244174
242,erdenet,49.03,104.08,46.26,67,54,4.21,MN,1590244174
243,caconda,-13.73,15.07,77.7,29,0,3.0,AO,1590244174
244,longyearbyen,78.22,15.64,37.4,69,75,13.87,SJ,1590244175
245,guerrero negro,27.98,-114.06,60.69,76,99,13.31,MX,1590244175
246,azul,-36.78,-59.86,50.0,78,29,5.48,AR,1590244175
247,mopti,14.67,-4.0,104.29,7,0,5.08,ML,1590244175
248,ballina,-28.87,153.57,51.8,66,42,12.75,AU,1590244175
249,teahupoo,-17.83,-149.27,75.2,78,40,3.36,PF,1590244175
250,kieta,-6.22,155.63,79.36,82,100,3.74,PG,1590244175
251,itarema,-2.92,-39.92,81.79,84,16,10.56,BR,1590244175
252,port augusta,-32.5,137.77,55.4,76,22,14.99,AU,1590244175
253,ukiah,39.15,-123.21,48.2,81,1,2.21,US,1590244176
254,semey,50.41,80.23,78.8,26,99,8.95,KZ,1590244176
255,codrington,-38.27,141.97,52.02,75,100,13.4,AU,1590244176
256,birao,10.28,22.79,95.56,35,96,3.8,CF,1590244176
257,sao filipe,14.9,-24.5,76.32,67,0,6.42,CV,1590244176
258,ranong,9.97,98.63,82.4,88,20,5.5,TH,1590244176
259,san ramon,37.78,-121.98,54.0,76,1,0.07,US,1590244060
260,bathsheba,13.22,-59.52,87.8,62,20,20.8,BB,1590244176
261,mbarara,-0.61,30.65,75.31,63,42,6.13,UG,1590244177
262,bintulu,3.17,113.03,82.0,100,75,4.54,MY,1590244177
263,san miguel,13.48,-88.18,83.28,75,0,2.75,SV,1590243955
264,bogovina,43.9,21.94,71.6,37,40,9.17,RS,1590244177
265,salalah,17.02,54.09,89.6,75,75,9.17,OM,1590244177
266,flinders,-34.58,150.86,59.0,67,100,7.0,AU,1590244177
267,bagdarin,54.43,113.6,47.75,53,77,6.49,RU,1590244177
268,simbahan,6.3,120.58,84.47,78,92,7.61,PH,1590244178
269,egvekinot,66.32,-179.17,23.83,97,100,9.8,RU,1590244178
270,pacific grove,36.62,-121.92,54.0,81,1,2.04,US,1590244178
271,uige,-7.61,15.06,87.1,41,90,3.76,AO,1590244178
272,lubango,-14.92,13.49,75.31,31,0,4.9,AO,1590243923
273,castro,-24.79,-50.01,56.62,78,100,13.87,BR,1590244178
274,kerema,-7.96,145.78,79.57,83,46,1.59,PG,1590244178
275,okhotsk,59.38,143.3,41.32,68,100,7.47,RU,1590244178
276,xuddur,4.12,43.89,83.98,55,83,18.84,SO,1590244178
277,tarakan,3.3,117.63,84.11,76,89,9.8,ID,1590244178
278,espanola,35.99,-106.08,62.01,18,1,8.05,US,1590244179
279,kiunga,-6.12,141.29,75.88,98,100,3.58,PG,1590244179
280,pauini,-7.71,-66.98,88.03,60,16,2.8,BR,1590244179
281,luderitz,-26.65,15.16,73.4,49,0,13.87,NA,1590244179
282,kismayo,-0.36,42.55,81.79,73,0,17.43,SO,1590244179
283,urbandale,41.63,-93.71,64.4,93,90,8.05,US,1590244179
284,tessalit,20.2,1.01,97.93,9,0,11.56,ML,1590244179
285,kuching,1.55,110.33,80.01,94,40,4.7,MY,1590244179
286,leiyang,26.4,112.86,75.7,77,0,0.89,CN,1590244179
287,smithers,54.78,-127.17,42.8,87,75,2.24,CA,1590244180
288,balkhash,46.84,74.98,77.61,37,7,6.73,KZ,1590244180
289,itoman,26.12,127.67,75.2,94,75,3.36,JP,1590244180
290,kiruna,67.86,20.23,55.4,35,69,12.75,SE,1590244180
291,bubaque,11.28,-15.83,79.29,71,0,9.28,GW,1590244180
292,burnie,-41.07,145.92,44.01,84,0,7.14,AU,1590244180
293,miramar,25.99,-80.23,84.99,66,75,17.22,US,1590244180
294,shelburne,44.08,-80.2,73.4,40,20,2.59,CA,1590244181
295,kahului,20.89,-156.47,71.01,88,1,3.36,US,1590244181
296,tautira,-17.73,-149.15,75.2,78,55,3.36,PF,1590244181
297,antofagasta,-23.65,-70.4,59.0,72,75,6.93,CL,1590244181
298,abha,18.22,42.51,77.0,31,40,4.7,SA,1590244181
299,puerto escondido,15.85,-97.07,80.6,74,5,5.82,MX,1590244181
300,nobeoka,32.58,131.67,65.71,88,100,3.71,JP,1590244181
301,umm lajj,25.02,37.27,87.06,56,0,8.95,SA,1590244182
302,mattru,7.62,-11.83,84.47,78,93,5.73,SL,1590244182
303,el alto,-4.27,-81.21,73.4,60,75,19.46,PE,1590244182
304,jacqueville,5.21,-4.41,87.8,66,20,6.93,CI,1590244182
305,uchiza,-8.46,-76.46,70.47,83,99,1.16,PE,1590244182
306,tanout,14.97,8.89,99.21,20,86,5.32,NE,1590244182
307,coahuayana,18.73,-103.68,64.4,93,20,1.36,MX,1590244182
308,assare,-6.87,-39.88,84.88,53,1,7.56,BR,1590244182
309,okha,53.57,142.95,35.46,98,100,6.42,RU,1590244182
310,glace bay,46.2,-59.96,46.0,38,20,21.92,CA,1590244183
311,olafsvik,64.89,-23.71,47.95,61,100,12.03,IS,1590244183
312,maridi,4.92,29.47,79.18,88,61,3.65,SS,1590244183
313,chokurdakh,70.63,147.92,23.68,97,98,4.34,RU,1590244183
314,martapura,-3.42,114.85,80.6,100,0,2.24,ID,1590244183
315,adrar,20.5,-10.07,103.3,7,0,13.44,MR,1590244183
316,kollegal,12.15,77.12,82.2,58,98,5.21,IN,1590244183
317,woodstock,43.13,-80.75,68.0,93,90,5.82,CA,1590244179
318,ropczyce,50.05,21.61,66.2,32,100,6.93,PL,1590244183
319,ouro preto do oeste,-10.75,-62.22,69.66,88,98,10.96,BR,1590244184
320,rugeley,52.76,-1.94,61.0,40,37,15.99,GB,1590244184
321,cap malheureux,-19.98,57.61,73.0,69,0,5.01,MU,1590244184
322,shihezi,44.3,86.03,76.84,25,11,5.23,CN,1590244184
323,phenix city,32.47,-85.0,73.99,73,1,3.36,US,1590244109
324,glendive,47.11,-104.71,54.0,76,1,12.75,US,1590244184
325,klaksvik,62.23,-6.59,46.4,100,99,6.93,FO,1590244184
326,artesia,33.87,-118.08,64.99,72,90,6.93,US,1590244184
327,temiscaming,46.72,-79.1,71.6,26,5,19.46,CA,1590244184
